132.243.205.69:8443#IT [1259.23ms]
132.243.205.81:8443#IT [1261.26ms]
113.30.151.151:8443#IT [1284.39ms]
132.243.205.99:8443#IT [1301.07ms]
103.201.130.54:8443#JP [118.05ms]
158.51.109.250:443#JP [121.27ms]
103.201.130.164:8443#JP [125.72ms]
158.51.110.61:8443#JP [127.81ms]
149.62.44.146:443#JP [129.6ms]
103.201.131.96:8443#JP [130.44ms]
150.230.212.247:443#JP [135.0ms]
103.200.30.13:443#JP [138.14ms]
132.145.127.203:2053#JP [138.55ms]
151.242.165.76:443#JP [144.95ms]
188.240.213.98:2053#KG [248.62ms]
158.180.72.60:443#KR [103.48ms]
156.59.181.101:443#KR [185.03ms]
156.246.94.243:443#KR [285.89ms]
151.245.106.81:443#KR [316.8ms]
158.247.246.18:443#KR [358.3ms]
129.154.50.159:443#KR [1103.01ms]
140.238.17.157:443#KR [1258.83ms]
104.238.24.42:443#KZ [282.64ms]
104.238.24.99:443#KZ [287.09ms]
104.238.24.164:443#KZ [287.4ms]
104.238.24.247:443#KZ [287.82ms]
104.238.24.139:8443#KZ [289.23ms]
185.253.8.65:2053#KZ [293.21ms]
195.58.52.52:2053#KZ [359.62ms]
176.12.79.0:443#KZ [1459.76ms]
103.113.69.63:443#LT [227.19ms]
103.231.72.240:443#LT [304.65ms]
103.231.72.4:443#LT [305.02ms]
103.231.72.6:8443#LT [312.68ms]
103.231.72.6:2053#LT [341.91ms]
130.12.171.173:443#LT [1260.87ms]
45.12.136.62:2053#LT [1285.65ms]
146.19.84.90:2053#LV [230.51ms]
146.19.84.236:2053#LV [236.54ms]
150.241.75.45:443#LV [265.0ms]
217.60.2.248:8443#LV [289.46ms]
185.82.126.206:2053#LV [291.14ms]
195.135.254.95:443#LV [314.49ms]
46.32.185.5:443#LV [1286.23ms]
13.140.16.117:443#LV [1293.18ms]
46.32.186.25:443#LV [1299.01ms]
46.32.186.176:8443#LV [1317.93ms]
176.123.1.97:443#MD [1253.5ms]
193.36.38.17:443#MD [1348.49ms]
131.196.253.141:443#MX [340.65ms]
131.196.254.151:443#MX [359.89ms]
131.196.254.203:443#MX [369.52ms]
131.196.254.84:443#MX [378.18ms]
131.196.254.211:443#MX [414.74ms]
185.128.227.27:443#MY [221.9ms]
185.233.184.13:443#NL [185.4ms]
163.5.229.173:8443#NL [188.61ms]
185.138.88.76:443#NL [190.14ms]
185.130.224.236:443#NL [199.78ms]
185.18.52.254:2053#NL [203.93ms]
157.22.179.183:443#NL [204.84ms]
146.103.33.57:443#NL [206.41ms]
157.22.182.229:443#NL [213.28ms]
157.22.179.184:443#NL [213.38ms]
185.133.174.38:443#NL [215.29ms]
148.253.212.243:8443#PL [191.15ms]
148.253.212.61:443#PL [205.83ms]
178.17.59.103:2053#PL [218.87ms]
148.253.212.110:8443#PL [233.41ms]
145.239.85.117:8443#PL [249.4ms]
151.115.61.151:2053#PL [260.66ms]
151.115.45.240:443#PL [263.01ms]
188.137.178.174:8443#PL [263.25ms]
212.192.11.208:443#PL [267.68ms]
212.119.43.76:443#PL [277.3ms]
185.138.89.29:8443#PT [321.77ms]
185.138.89.45:2053#PT [345.4ms]
45.12.131.34:443#PT [1220.2ms]
31.129.22.199:8443#PT [1427.3ms]
156.244.43.22:443#QA [333.34ms]
185.225.17.13:443#RO [1283.26ms]
185.125.219.207:443#RU [184.99ms]
185.105.117.222:443#RU [194.28ms]
194.67.67.158:8443#RU [195.1ms]
188.246.226.106:8443#RU [198.52ms]
194.67.204.158:2053#RU [206.67ms]
185.154.192.200:443#RU [213.01ms]
103.88.242.134:443#RU [216.44ms]
158.255.6.5:8443#RU [218.12ms]
194.67.204.158:8443#RU [224.27ms]
185.211.170.101:8443#RU [227.54ms]
188.126.77.155:2053#SE [207.61ms]
130.49.178.104:8443#SE [214.29ms]
185.21.11.91:443#SE [225.01ms]
185.231.102.98:443#SE [228.01ms]
172.232.149.77:443#SE [255.34ms]
130.49.178.164:8443#SE [259.3ms]
172.232.150.153:443#SE [285.63ms]
185.159.75.51:443#SE [316.55ms]
103.45.246.200:8443#SE [317.29ms]
185.139.228.30:443#SE [318.41ms]
149.28.152.204:443#SG [130.97ms]
149.28.142.169:443#SG [132.69ms]
158.178.234.153:443#SG [192.3ms]
158.178.230.113:8443#SG [196.59ms]
158.178.229.178:443#SG [196.87ms]
185.151.146.73:443#SG [223.1ms]
150.109.11.223:443#SG [297.91ms]
185.229.222.64:8443#SG [314.96ms]
156.244.57.227:443#SG [315.65ms]
143.198.90.188:443#SG [350.0ms]
194.58.66.220:443#SI [1292.3ms]
157.85.96.9:443#TH [412.89ms]
156.67.62.109:2053#TR [288.81ms]
130.94.1.150:443#TR [291.17ms]
193.124.45.108:2053#TR [295.03ms]
188.132.129.102:2053#TR [313.22ms]
188.132.232.192:8443#TR [345.9ms]
103.83.87.219:8443#TR [421.12ms]
103.83.87.133:443#TR [421.48ms]
103.83.86.172:443#TR [445.55ms]
138.249.20.76:443#TR [1329.16ms]
138.249.20.217:2053#TR [1334.27ms]
103.137.63.227:8443#TW [134.5ms]
167.253.153.214:443#TW [1440.96ms]
157.245.178.181:443#US [183.46ms]
131.143.251.121:443#US [183.97ms]
157.230.140.153:2087#US [187.79ms]
157.230.140.153:2096#US [188.41ms]
146.190.174.67:443#US [189.36ms]
165.22.130.178:443#US [189.54ms]
165.22.130.178:2096#US [190.39ms]
148.135.95.114:8443#US [190.76ms]
157.230.140.153:2053#US [190.95ms]
178.128.67.112:2087#US [191.32ms]
157.22.128.7:443#UZ [253.51ms]
161.248.31.35:443#VN [1201.95ms]
123.58.199.241:443#VN [1409.57ms]
156.38.157.171:8443#ZA [351.79ms]
156.38.157.171:2053#ZA [373.71ms]
139.84.226.30:8443#ZA [1441.37ms]
139.84.236.69:443#ZA [1456.35ms]
139.84.231.16:8443#ZA [1492.65ms]
